Time,Sales,Transactions
2022-01-01T10:00:00.000000Z,341.24,3
2022-01-01T10:15:00.000000Z,281.63,4
2022-01-01T10:30:00.000000Z,347.14,4
2022-01-01T10:45:00.000000Z,452.55,4
2022-01-01T11:00:00.000000Z,699.66,6
2022-01-01T11:15:00.000000Z,653.68,6
2022-01-01T11:30:00.000000Z,625.62,6
2022-01-01T11:45:00.000000Z,358.05,5
2022-01-01T12:00:00.000000Z,775.28,8
2022-01-01T12:15:00.000000Z,573.02,8
2022-01-01T12:30:00.000000Z,726.39,8
2022-01-01T12:45:00.000000Z,1142.22,8
2022-01-01T13:00:00.000000Z,798.33,9
2022-01-01T13:15:00.000000Z,922.23,10
2022-01-01T13:30:00.000000Z,813.52,10
2022-01-01T13:45:00.000000Z,835.58,9
2022-01-01T14:00:00.000000Z,987.52,8
2022-01-01T14:15:00.000000Z,708.73,8
2022-01-01T14:30:00.000000Z,780.85,8
2022-01-01T14:45:00.000000Z,667.88,8
2022-01-01T15:00:00.000000Z,383.69,6
2022-01-01T15:15:00.000000Z,528.25,5
2022-01-01T15:30:00.000000Z,745.82,6
2022-01-01T15:45:00.000000Z,657.40,6
2022-01-01T16:00:00.000000Z,478.98,6
2022-01-01T16:15:00.000000Z,624.45,6
2022-01-01T16:30:00.000000Z,790.87,6
2022-01-01T16:45:00.000000Z,378.50,6
2022-01-01T17:00:00.000000Z,873.51,7
2022-01-01T17:15:00.000000Z,944.94,8
2022-01-01T17:30:00.000000Z,1083.09,8
2022-01-01T17:45:00.000000Z,781.51,7
2022-01-01T18:00:00.000000Z,1256.11,10
2022-01-01T18:15:00.000000Z,1108.33,10
2022-01-01T18:30:00.000000Z,1137.34,10
2022-01-01T18:45:00.000000Z,1035.07,9
2022-01-01T19:00:00.000000Z,1021.80,12
2022-01-01T19:15:00.000000Z,1500.67,12
2022-01-01T19:30:00.000000Z,1454.36,11
2022-01-01T19:45:00.000000Z,1125.90,12
2022-01-01T20:00:00.000000Z,1354.97,12
2022-01-01T20:15:00.000000Z,1309.27,12
2022-01-01T20:30:00.000000Z,1074.94,11
2022-01-01T20:45:00.000000Z,990.63,12
2022-01-01T21:00:00.000000Z,718.51,8
2022-01-01T21:15:00.000000Z,468.53,8
2022-01-01T21:30:00.000000Z,831.02,7
2022-01-01T21:45:00.000000Z,868.39,8
2022-01-01T22:00:00.000000Z,397.22,4
2022-01-01T22:15:00.000000Z,459.28,4
2022-01-01T22:30:00.000000Z,535.22,4
2022-01-01T22:45:00.000000Z,294.46,4
2022-01-01T23:00:00.000000Z,346.72,4
2022-01-01T23:15:00.000000Z,470.48,4
2022-01-01T23:30:00.000000Z,641.02,4
2022-01-01T23:45:00.000000Z,407.91,4
2022-01-02T00:00:00.000000Z,69.37,1
2022-01-02T00:15:00.000000Z,38.11,1
2022-01-02T00:30:00.000000Z,65.05,1
2022-01-02T00:45:00.000000Z,147.43,1
2022-01-02T01:00:00.000000Z,72.57,1
2022-01-02T01:15:00.000000Z,91.65,1
2022-01-02T01:30:00.000000Z,109.62,1
2022-01-02T01:45:00.000000Z,96.94,1
2022-01-02T02:00:00.000000Z,176.50,1
2022-01-02T02:15:00.000000Z,102.14,1
2022-01-02T02:30:00.000000Z,5.25,1
2022-01-02T02:45:00.000000Z,61.02,1
2022-01-02T03:00:00.000000Z,168.13,1
2022-01-02T03:15:00.000000Z,143.91,1
2022-01-02T03:30:00.000000Z,8.18,1
2022-01-02T03:45:00.000000Z,99.37,1
2022-01-02T04:00:00.000000Z,143.92,1
2022-01-02T04:15:00.000000Z,180.24,1
2022-01-02T04:30:00.000000Z,50.18,1
2022-01-02T04:45:00.000000Z,178.55,1
2022-01-02T05:00:00.000000Z,104.14,1
2022-01-02T05:15:00.000000Z,93.46,1
2022-01-02T05:30:00.000000Z,177.45,1
2022-01-02T05:45:00.000000Z,6.02,1
2022-01-02T06:00:00.000000Z,163.96,1
2022-01-02T06:15:00.000000Z,159.67,1
2022-01-02T06:30:00.000000Z,141.61,1
2022-01-02T06:45:00.000000Z,33.57,1
2022-01-02T07:00:00.000000Z,78.12,1
2022-01-02T07:15:00.000000Z,55.35,1
2022-01-02T07:30:00.000000Z,110.32,1
2022-01-02T07:45:00.000000Z,106.91,1
2022-01-02T08:00:00.000000Z,156.86,1
2022-01-02T08:15:00.000000Z,81.10,1
2022-01-02T08:30:00.000000Z,137.06,1
2022-01-02T08:45:00.000000Z,45.16,1
2022-01-02T09:00:00.000000Z,176.93,1
2022-01-02T09:15:00.000000Z,25.23,1
2022-01-02T09:30:00.000000Z,52.51,1
2022-01-02T09:45:00.000000Z,121.84,1
2022-01-02T10:00:00.000000Z,75.23,1
2022-01-02T10:15:00.000000Z,123.85,1
2022-01-02T10:30:00.000000Z,112.35,1
2022-01-02T10:45:00.000000Z,79.82,1
2022-01-02T11:00:00.000000Z,33.14,1
2022-01-02T11:15:00.000000Z,74.96,1
2022-01-02T11:30:00.000000Z,113.17,1
2022-01-02T11:45:00.000000Z,40.87,1
2022-01-02T12:00:00.000000Z,128.14,1
2022-01-02T12:15:00.000000Z,68.62,1
2022-01-02T12:30:00.000000Z,60.73,1
2022-01-02T12:45:00.000000Z,277.59,3
2022-01-02T13:00:00.000000Z,668.36,8
2022-01-02T13:15:00.000000Z,568.55,7
2022-01-02T13:30:00.000000Z,587.76,8
2022-01-02T13:45:00.000000Z,437.17,7
2022-01-02T14:00:00.000000Z,587.75,6
2022-01-02T14:15:00.000000Z,510.54,6
2022-01-02T14:30:00.000000Z,471.29,6
2022-01-02T14:45:00.000000Z,587.28,6
2022-01-02T15:00:00.000000Z,736.76,5
2022-01-02T15:15:00.000000Z,264.10,4
2022-01-02T15:30:00.000000Z,425.63,5
2022-01-02T15:45:00.000000Z,402.16,4
2022-01-02T16:00:00.000000Z,736.95,5
2022-01-02T16:15:00.000000Z,348.30,4
2022-01-02T16:30:00.000000Z,497.74,5
2022-01-02T16:45:00.000000Z,597.75,4
2022-01-02T17:00:00.000000Z,401.85,6
